DIAGNOSIS_DATE,event_cumulative_difference
2020-10-11,268.0
2020-10-12,497.0
2020-10-13,556.0
2020-10-14,552.0
2020-10-15,582.0
2020-10-16,469.0
2020-10-17,343.0
2020-10-18,324.0
2020-10-19,591.0
2020-10-20,574.0
2020-10-21,624.0
2020-10-22,714.0
2020-10-23,550.0
2020-10-24,348.0
2020-10-25,339.0
2020-10-26,639.0
2020-10-27,668.0
2020-10-28,726.0
2020-10-29,591.0
2020-10-30,576.0
2020-10-31,367.0
2020-11-01,447.0
2020-11-02,704.0
2020-11-03,452.0
2020-11-04,325.0
2020-11-05,0.0
